name,full_address,address,city,state,zip
Birthright,"218 Main Street S. Suite 132, Hutchinson, MN 55350",218 Main Street S. Suite 132,Hutchinson,MN,55350
Northern LifeCare Center,"Shannon Sq., 309 3rd St., International Falls, MN 56649","Shannon Sq., 309 3rd St.",International Falls,MN,56649
Womens Life Care Center,"2870 Middle St., Little Canada, MN 55119",2870 Middle St.,Little Canada,MN,55119
Catholic Charities of Mankato,"816 Hubbell Ave., Mankato, MN 56001",816 Hubbell Ave.,Mankato,MN,56001
Birthright,"348 W. Main St., Marshall, MN 56258",348 W. Main St.,Marshall,MN,56258
Rum River Life Choices Center,"121 Second Ave. S.W., Milaca, MN 56353",121 Second Ave. S.W.,Milaca,MN,56353
Birthright,"825 Nicollet Mall, Minneapolis, MN",825 Nicollet Mall,Minneapolis,MN,
Catholic Charities,"1200 2nd Ave S., Minneapolis, MN 55403",1200 2nd Ave S.,Minneapolis,MN,55403
City Life Center,"2520 Park Ave, S., Minneapolis, MN 55404","2520 Park Ave, S.",Minneapolis,MN,55404
North Side Pregnancy Options,"2503 Lowry Ave. N., Minneapolis, MN 55411",2503 Lowry Ave. N.,Minneapolis,MN,55411
North Side Pregnancy Options,"4367 Thomas Ave N., Minneapolis, MN 55412",4367 Thomas Ave N.,Minneapolis,MN,55412
University LifeCare,"1315 4th Street SE, Ste. 200, Minneapolis, MN 55414","1315 4th Street SE, Ste. 200",Minneapolis,MN,55414
Birthright,"207 3rd Street W, Monticello, MN 55362",207 3rd Street W,Monticello,MN,55362
Mora Crisis Pregnancy Center,"114 Maple Ave W., Suite 2, Mora, MN 55051","114 Maple Ave W., Suite 2",Mora,MN,55051
Morris Life Care Pregnancy Center,"600 Atlantic Ave,. Suite 202, Morris, MN 56267","600 Atlantic Ave,. Suite 202",Morris,MN,56267
Birthright,"140 1 2 E. Rose Street, Owatonna, MN 55060",140 1 2 E. Rose Street,Owatonna,MN,55060
Catholic Charities Owatonna,"577 State Ave., Owatonna, MN 55060",577 State Ave.,Owatonna,MN,55060
Pregnancy Resource Center,"200 West 6th Street, Park Rapids, MN 56470",200 West 6th Street,Park Rapids,MN,56470
Pregnancy Resource Center of Pine City,"315 Main Street S, Pine City, MN 55063",315 Main Street S,Pine City,MN,55063
Choices Pregnancy Center,"231 E. 2nd Street, Redwood Falls, MN 56283",231 E. 2nd Street,Redwood Falls,MN,56283
New Life Family Services,"1515 E. 66th St., Richfield, MN 55423",1515 E. 66th St.,Richfield,MN,55423
Robbinsdale Womens Center,"3826 West Broadway, Robbinsdale, MN 55422",3826 West Broadway,Robbinsdale,MN,55422
Birthright,"830 South Broadway, Rochester, MN 55904",830 South Broadway,Rochester,MN,55904
Catholic Charities of Rochester,"903 W. Center St., Ste. 220, Rochester, MN 55902","903 W. Center St., Ste. 220",Rochester,MN,55902
New Life Family Services,"902 N. Broadway, Rochester , MN 55906",902 N. Broadway,Rochester ,MN,55906
Catholic Charities,"911 18th St. N, St Cloud, MN 56302",911 18th St. N,St Cloud,MN,56302
Birthline,"1411 West St. Germain Steet, Suite 5, St. Cloud, MN 56301","1411 West St. Germain Steet, Suite 5",St. Cloud,MN,56301
New Beginnings,"40 North 25th Ave., St. Cloud, MN 56303",40 North 25th Ave.,St. Cloud,MN,56303
Pregnancy Resource Center,"305 5th Ave South, Suite 170, St. Cloud, MN 56301","305 5th Ave South, Suite 170",St. Cloud,MN,56301
CLM Counseling Services,"2756 Lake Shore Ave., Little Canada, MN",2756 Lake Shore Ave.,Little Canada,MN,
LifeCare Center EAST,"891 White Bear Avenue, St. Paul, MN 55119",891 White Bear Avenue,St. Paul,MN,55119
New Life Family Services,"2105 Old Hudson Road, St. Paul, MN 55119",2105 Old Hudson Road,St. Paul,MN,55119
Total Life Care Centers,"525 Thomas Ave., St. Paul, MN 55103",525 Thomas Ave.,St. Paul,MN,55103
Alpha Pregnancy Resource Center,"13845 Highway 13 South, Savage, MN 55378",13845 Highway 13 South,Savage,MN,55378
St. Croix Valley LifeCare Center,"713 County Road 5, Stillwater, MN 55082",713 County Road 5,Stillwater,MN,55082
LifeCare Center of Thief River Falls,"204 Labree Avenue North, Thief River Falls, MN 56701",204 Labree Avenue North,Thief River Falls,MN,56701
Birthright,"233 South Olive Street, Waconia, MN 55387",233 South Olive Street,Waconia,MN,55387
Walker Area Pregnancy Support Center,"507 Front Street, Walker, MN 56484",507 Front Street,Walker,MN,56484
Hope Pregnancy Center,"325 SW 4th St., Willmar, MN 56201",325 SW 4th St.,Willmar,MN,56201
Catholic Charities Winona,"111 Market St., Winona, MN 55987",111 Market St.,Winona,MN,55987
Grace Place,"66 East 2nd St, Winona, MN 55987",66 East 2nd St,Winona,MN,55987
Catholic Charities Worthington,"1234 Oxford St., Worthington, MN 56187",1234 Oxford St.,Worthington,MN,56187
Helping Hand Pregnancy Center,"910 3rd Ave., Worthington, MN",910 3rd Ave.,Worthington,MN,
Crisis Pregnancy Center,"200 Old Road, Lyon MS 38645",200 Old Road,,MS,38645
Bethany Christian Services,"116 Lawrence Dr 3, Columbus, MS 39702",116 Lawrence Dr 3,Columbus,MS,39702
Oasis Medical Center,"2668 S. Harper Road, Suite 3, Corinth MS 38834","2668 S. Harper Road, Suite 3",,MS,38834
Promiss Pregnancy Resources,"3001 Ladnier Road, Gautier MS 39553",3001 Ladnier Road,,MS,39553
Womens Clinic PA,"4577 13th St, Gulfport, MS 39501",4577 13th St,Gulfport,MS,39501
Hands On Mississippi,"11975 Seaway Road, Gulport, MS 39503",11975 Seaway Road,Gulport,MS,39503
Catholic Social and Community Services,"2204 24th Ave., Gulfport, MS 39501",2204 24th Ave.,Gulfport,MS,39501
SavaLife,"9155 Old Lorraine Rd., Gulfport, MS 39507",9155 Old Lorraine Rd.,Gulfport,MS,39507
Bethany Christian Services,"7 Professional Pkwy., Ste. 103, Hattiesburg, MS 39402","7 Professional Pkwy., Ste. 103",Hattiesburg,MS,39402
Birthright,"133 Sykes Rd., Jackson, MS 39236",133 Sykes Rd.,Jackson,MS,39236
Catholic Charities Jackson,"200 N. Congress, Suite 100, Jackson, MS 39201","200 N. Congress, Suite 100",Jackson,MS,39201
Center of Pregnancy Choices,"114 Office Park Plaza, Jackson, MS 39206",114 Office Park Plaza,Jackson,MS,39206
Center for Pregnancy Choices,"1004 Adams St., Laurel, MS 39441",1004 Adams St.,Laurel,MS,39441
Crisis Pregnancy Center,"647 Delaware Ave., MacComb MS 396484021",647 Delaware Ave.,,MS,39648
Center for Pregnancy Choices,"3627 Hwy 80 East, Pearl, MS 39208",3627 Hwy 80 East,Pearl,MS,39208
Pregnancy Choices of Lawrence,"288 Arm Road, Silver Creek , MS 39663",288 Arm Road,Silver Creek ,MS,39663
Care Pregnancy Resource Center,"1277 Main St., South Haven, MS 36871",1277 Main St.,South Haven,MS,36871
New Beginnings of Tupelo,"2164 Southridge Drive, Tupelo, MS 38801",2164 Southridge Drive,Tupelo,MS,38801
Crisis Pregnancy Center Of Vicksburg,"1017 Jackson Street, Vicksburg MS 39183",1017 Jackson Street,,MS,39183
Hand n Hand Pregnancy Help Center,"7018B Highway 61 67, Barnhart, MO 63012",7018B Highway 61 67,Barnhart,MO,63012
Rachels House,"501 NW Fifth Street, Suite 100, Blue Springs, MO 64014","501 NW Fifth Street, Suite 100",Blue Springs,MO,64014
Alpha House Crisis Pregnancy Center,"469 South Albany, Bolivar, MO 65613",469 South Albany,Bolivar,MO,65613
Options Pregnancy Clinic,"192 Expressway Lane, Suite A, Branson, MO 65616","192 Expressway Lane, Suite A",Branson,MO,65616
Pregnancy Help Center – Medical Center Teen Center,"American Center, Hwy 54, Camdenton, MO 65020","American Center, Hwy 54",Camdenton,MO,65020
Birthright of Cape Girardeau,"2633 Hopper Road, Cape Girardeau, MO 63701",2633 Hopper Road,Cape Girardeau,MO,63701
Crisis Pregnancy Center,"354 Silver Springs Rd., Cape Girardeau, MO 63703",354 Silver Springs Rd.,Cape Girardeau,MO,63703
Birthright of Columbia,"1504 E. Broadway, 216, Columbia, MO 65201","1504 E. Broadway, 216",Columbia,MO,65201
My Life Clinic,"802 N. Providence Rd., Suite 2, Columbia, MO 65203","802 N. Providence Rd., Suite 2",Columbia,MO,65203
Jefferson County Pregnancy Care Center,"82 Brierton, Crystal City, MO 63109",82 Brierton,Crystal City,MO,63109
Tri County Birthright,"300 West 4th St., Suite E, Eureka, MO 630251839","300 West 4th St., Suite E",Eureka,MO,63025
Crisis Pregnancy Center,"106 West Broadway St., Excelsior Springs, MO 64024",106 West Broadway St.,Excelsior Springs,MO,64024
My Life Clinic,"502 Nichols St., Fulton, MO 652512618",502 Nichols St.,Fulton,MO,65251
Birthright of Hannibal,"116 South Arch St., Hannibal, MO 63401",116 South Arch St.,Hannibal,MO,63401
Your Life Choice Center,"307 W. Washington St., Harrisonville, MO 64701",307 W. Washington St.,Harrisonville,MO,64701
Birthright,"134 E. Fourth St., Suite E, Hermann, MO 65041","134 E. Fourth St., Suite E",Hermann,MO,65041
Birthright,"10279 Business 21 P.O. Box 35, Hillsboro, MO 63050",10279 Business 21 P.O. Box 35,Hillsboro,MO,63050
The Womens Clinic of Kansas City,"815 N. Noland Rd., 4, Independence, MO 64050","815 N. Noland Rd., 4",Independence,MO,64050
Birthright,"1006 E. High St. 2, Jefferson City, MO 65101",1006 E. High St. 2,Jefferson City,MO,65101
Life Choices Medical Clinic Resource Center,"531 E. 7th Street, Joplin, MO 64801",531 E. 7th Street,Joplin,MO,64801
Birthright,"6309 Walnut St., Kansas City, MO 64113",6309 Walnut St.,Kansas City,MO,64113
Catholic Charities of Kansas City,"1112 Broadway St., Kansas City, MO 64105",1112 Broadway St.,Kansas City,MO,64105
Lifeline Crisis Pregnancy Help Clinic,"306 W. Washington, Kirksville, MO 63501",306 W. Washington,Kirksville,MO,63501
Pregnancy Help Center Haven of Hope Maternity Home,"148 Elks Ln., Laurie, MO 65037",148 Elks Ln.,Laurie,MO,65037
Rachels House,"320 NE Tudor Road, Lees Summit, MO 64086",320 NE Tudor Road,Lees Summit,MO,64086
Birthright of Moberly,"423 East Logan St., Moberly, MO 65270",423 East Logan St.,Moberly,MO,65270
Rachels House,"4110 NE Vivion Road (across from Penguin Park), Northland, MO 64119",4110 NE Vivion Road (across from Penguin Park),Northland,MO,64119
Birthright of Rolla,"620 Pine St., Rolla, MO 65401",620 Pine St.,Rolla,MO,65401
Birthright of Pettis County,"1810 W. 11th St., Sedalia, MO 65301",1810 W. 11th St.,Sedalia,MO,65301
Birthright (Brentwood Branch),"2525 South Brentwood Boulevard, 102, St. Louis, MO 63144","2525 South Brentwood Boulevard, 102",St. Louis,MO,63144
Birthright (Bridgeton Branch),"3435 Bridgeland Dr., St. Louis, MO 63044",3435 Bridgeland Dr.,St. Louis,MO,63044
Pregnancy Support Center,"604 Walnut St, Anaconda, MT 59711",604 Walnut St,Anaconda,MT,59711
"LaVie, Pregnancy Clinic","2321 Broadwater Avenue, Billings, MT 59102",2321 Broadwater Avenue,Billings,MT,59102
"LaVie, Pregnancy Clinic","44 Wicks Lane, Billings, MT 59108",44 Wicks Lane,Billings,MT,59108
Catholic Social Services,"1048 North 30th St, Billings, MT 59101",1048 North 30th St,Billings,MT,59101
Pregnancy Caring Center,"202 S. Black Ave. Ste2B, Bozeman, MT 59715",202 S. Black Ave. Ste2B,Bozeman,MT,59715
Zoe Womens Services,"1216 W. Lincoln Ste. C, Bozeman, MT 59715",1216 W. Lincoln Ste. C,Bozeman,MT,59715
New Hope Center,"320 South Idaho St, Butte, MT 59701",320 South Idaho St,Butte,MT,59701
Pregnancy Help Center,"304 Milwaukee Avenue Apt B, Deer Lodge, MT 59722",304 Milwaukee Avenue Apt B,Deer Lodge,MT,59722
New Hope Pregnancy Support Ctr,"112 South Washington St, Dillon, MT 59725",112 South Washington St,Dillon,MT,59725
We Care,"501 Dewey Avenue, Eureka, MT 59917",501 Dewey Avenue,Eureka,MT,59917
Catholic Social Services,"410 Central Ave 601, Great Falls, MT 59401",410 Central Ave 601,Great Falls,MT,59401
Lutheran Social Services,"501 Central Avenue, Great Falls, MT 59401",501 Central Avenue,Great Falls,MT,59401
Heartbeat of Montana,"315 1st St, Havre, MT 59501",315 1st St,Havre,MT,59501
Birthright of Helena,"38 South Last Chance Gulch, Helena, MT 59601",38 South Last Chance Gulch,Helena,MT,59601
Options Womens Clinic,"1205 Butte Ave. Suite 2, Hekeba, MT 59601",1205 Butte Ave. Suite 2,Hekeba,MT,59601
Catholic Social Services,"1301 11th Avenue, Helena, MT 59624",1301 11th Avenue,Helena,MT,59624
Hope Pregnancy Center,"9401st Avenue East, Kalispell, MT 59901",9401st Avenue East,Kalispell,MT,59901
Hope Pregnancy Center,"1281 Burns Way, Kalispell, MT 59901",1281 Burns Way,Kalispell,MT,59901
Clear Choice Clinic,"1281 Burns Way, Kalispell, MT 59901",1281 Burns Way,Kalispell,MT,59901
Pregnancy Care Center,"115 1st Ave N., Lewistown, MT 59457",115 1st Ave N.,Lewistown,MT,59457
Pregnancy Care Center,"113 West 10th Street, Libby, MT 59923",113 West 10th Street,Libby,MT,59923
Pregnancy Outreach Clinic of Miles City,"516 Pleasant Street, Miles City, MT 59301",516 Pleasant Street,Miles City,MT,59301
Life Net of Missoula,"1515 Fairview Ave, Ste. 250, Missoula, MT 59801","1515 Fairview Ave, Ste. 250",Missoula,MT,59801
Pregnancy Resource Center,"190 Redwood Lane, Seeley Lake, MT 59868",190 Redwood Lane,Seeley Lake,MT,59868
New Hope Pregnancy Support Ctr,"114 North Main, Sheridan, MT 59749",114 North Main,Sheridan,MT,59749
Sunrise Pregnancy Resource Center,"116 3rd Ave. NW, Sidney, MT 59270",116 3rd Ave. NW,Sidney,MT,59270
Southeast Nebraska Center for Pregnancy Counseling,"P.O. Box 472, Auburn, NE 68305",P.O. Box 472,Auburn,NE,68305
Care Net Pregnancy Center of Beatrice,"800 Ella Street, Beatrice, NE 68310",800 Ella Street,Beatrice,NE,68310
A Womans Touch Pregnancy Counseling Center,"908 W. Mission Avenue, Bellevue, NE 68005",908 W. Mission Avenue,Bellevue,NE,68005
Birthright of Broken Bow,"741 South D, Broken Bow, NE 68822",741 South D,Broken Bow,NE,68822
Birthright of Chadron,"803 E. Third, Ste 3, Box 484, Chadron, NE 69337","803 E. Third, Ste 3, Box 484",Chadron,NE,69337
Birthright of Columbus,"1611 23rd Street, Box 62, Columbus, NE 68601","1611 23rd Street, Box 62",Columbus,NE,68601
Birthright of Grand Island,"3312 West 2nd St., Grand Island, NE 68801",3312 West 2nd St.,Grand Island,NE,68801
Hastings Pregnancy Resource Center,"223 E. 14th St. Suite 202, Hastings, NE 68901",223 E. 14th St. Suite 202,Hastings,NE,68901
Collage Center,"3000 2nd Ave. Ste 100, Kearney, NE 68847",3000 2nd Ave. Ste 100,Kearney,NE,68847
Birthright of Lincoln,"5625 O St., Ste. 4, Lincoln, NE 68505","5625 O St., Ste. 4",Lincoln,NE,68505
Lincoln Crisis Pregnancy Center,"111 Piazza Terrace, Lincoln, NE 685101751",111 Piazza Terrace,Lincoln,NE,68510
Catholic Social Services,"3700 Sheridan Blvd., Lincoln, NE 68506",3700 Sheridan Blvd.,Lincoln,NE,68506
Birthright,"109 N 15th St. 11, Norfolk, NE 68701",109 N 15th St. 11,Norfolk,NE,68701
Womens Resource Center,"331 East 6th Street, North Platte, NE 69103",331 East 6th Street,North Platte,NE,69103
Assure Womens Center,"6510 Sorenson Pkwy, Omaha, NE 68152",6510 Sorenson Pkwy,Omaha,NE,68152
Catholic Charities,"3300 N 60th St., Omaha, NE 68104",3300 N 60th St.,Omaha,NE,68104
Essential Pregnancy Services,"6220 Maple Street, Omaha, NE 68104",6220 Maple Street,Omaha,NE,68104
Essential Pregnancy Services,"3029 N 93rd Street, Omaha, NE 68134",3029 N 93rd Street,Omaha,NE,68134
Nebraska Childrens Home Soc.,"3549 Fontenelle Blvd., Omaha, NE 68104",3549 Fontenelle Blvd.,Omaha,NE,68104
Birthright of Scottsbluff,"10 East 17th Street, Scottsbluff, NE 69361",10 East 17th Street,Scottsbluff,NE,69361
Hope Pregnancy Center,"1109 Washington Street, Superior, NE 68978",1109 Washington Street,Superior,NE,68978
York Crisis Pregnancy Center,"1110 Lincoln Avenue Suite 2B, York, NE 68467",1110 Lincoln Avenue Suite 2B,York,NE,68467
Community Pregnancy Center of Carson City,"222 East Washington Street, Carson City, NV 89702",222 East Washington Street,Carson City,NV,89702
Care Net Pregnancy Care Center of Churchill County,"75 N. Ada St., Fallon, NV 89406",75 N. Ada St.,Fallon,NV,89406
First Choice Pregnancy Center,"860 E. Sahara Ave., Las Vegas, NV 89104",860 E. Sahara Ave.,Las Vegas,NV,89104
Womens Resource Medical Centers of Southern Nevada,"2915 W. Charleston Blvd., Suite 1, Las Vegas, NV 89102","2915 W. Charleston Blvd., Suite 1",Las Vegas,NV,89102
Womens Resource Medical Centers of Southern Nevada,"1490 E. University Ave, Las Vegas, NV 89101",1490 E. University Ave,Las Vegas,NV,89101
First Choice Pregnancy Center,"1601 E. Basin Ave., Ste. 303, Pahrump, NV 89060","1601 E. Basin Ave., Ste. 303",Pahrump,NV,89060
Casa de Vida,"1290 Mill St., Reno, NV 89502",1290 Mill St.,Reno,NV,89502
Crisis Pregnancy Center,"853 Haskell St., Reno, NV 89509",853 Haskell St.,Reno,NV,89509
1st WAY Pregnancy Center,"630 Melarkey St. A, Winnemucca, NV 89445",630 Melarkey St. A,Winnemucca,NV,89445
Bethany Christian Services,"183 High Street, Candia, NH 03034",183 High Street,Candia,,03034
Lighthouse Pregnancy Crisis Center,"P.O. Box 305, Center Ossipee, NH 038140305",P.O. Box 305,Center Ossipee,,03814
Pregnancy Center of the Upper Valley,"32 Opera House Square, Claremont, NH 03743",32 Opera House Square,Claremont,,03743
Care Net of Concord,"7 Greenwood Avenue, Concord, NH 03301",7 Greenwood Avenue,Concord,,03301
Birthright,"37 Crystal Ave., 10, Derry, NH, 03038","37 Crystal Ave., 10",Derry,,03038
Options for Women,"65 Main St., Dover, NH 03820",65 Main St.,Dover,,03820
Pregnancy Resource Center of the Monadnock Region,"100 Washington Street, Keene, NH 03431",100 Washington Street,Keene,,03431
Care Net Pregnancy Center of the Lakes Region,"506 Union Avenue, Laconia, NH 03246",506 Union Avenue,Laconia,,03246
Catholic Social Services Littleton District Office,"41 Cottage St., Littleton, NH 03561",41 Cottage St.,Littleton,,03561
Care Net Pregnancy Center of Manchester,"50 Bridge Street, Suite 307, Manchester, NH 03101","50 Bridge Street, Suite 307",Manchester,,03101
Birthright,"307 Kelly Street, Manchester, NH 03102",307 Kelly Street,Manchester,,03102
Care Net Pregnancy Center of Nashua,"110 Main Street, Nashua, NH 03060",110 Main Street,Nashua,,03060
Birthright,"323 Islington Street, Portsmouth, NH 03801",323 Islington Street,Portsmouth,,03801
"Catholic Social Services, Rochester District Office","23 Grant St, Rochester, NH 03867",23 Grant St,Rochester,,03867
Pregnancy Center of the Upper Valley,"1 Main St, Suite 2, West Lebanon, NH 03784","1 Main St, Suite 2",West Lebanon,,03784
Barnegat Birthright,"819 West Bay Avenue, Barnegat, NJ 08005",819 West Bay Avenue,Barnegat,NJ,08005
Birthright of Essex County,"623 Bloomfield Avenue, 2nd Floor, Bloomfield, NJ 07003","623 Bloomfield Avenue, 2nd Floor",Bloomfield,NJ,07003
Catholic Charities Diocese Metuchen,"540 Rte 22 East, Bridgewater, NJ 08807",540 Rte 22 East,Bridgewater,NJ,08807
Catholic Charities,"115 W. Pearl Street, Burlington, NJ 08016",115 W. Pearl Street,Burlington,NJ,08016
Catholic Charities,"1845 Haddon Avenue, Camden, NJ 08101",1845 Haddon Avenue,Camden,NJ,08101
Options for Woman,"1500 Kings Highway North, Suite 110, Cherry Hill, NJ 08034","1500 Kings Highway North, Suite 110",Cherry Hill,NJ,08034
Birthright of Dover,"1921 Belmont Ave., Dover, NJ 07901",1921 Belmont Ave.,Dover,NJ,07901
Catholic Charities,"288 Rues Lane, East Brunswick, NJ 08816",288 Rues Lane,East Brunswick,NJ,08816
Catholic Charities,"26 Safran Avenue, Edison, NJ 08837",26 Safran Avenue,Edison,NJ,08837
Crisis Pregnancy Service of Atlantic County New Jersey,"1307 White Horse Pike, Egg Harbor City NJ 08215",1307 White Horse Pike,,NJ,08215
Gateway Pregnancy Centers,"65 Jefferson Ave, Ste. 403, Elizabeth, NJ 07201","65 Jefferson Ave, Ste. 403",Elizabeth,NJ,07201
New Hope Pregnancy Resource Center,"106 West Palisade Avenue, Ste. 104, Englewood, NJ 07631","106 West Palisade Avenue, Ste. 104",Englewood,NJ,07631
Bethany Christian Services,"1219 River Road, Fairlawn, NJ",1219 River Road,Fairlawn,NJ,
Friendship Center for New Beginnings,"162 Main Street, Flemington, New Jersey 08822",162 Main Street,Flemington,NJ,08822
Freehold Birthright,"49 E Main Street 1, Freehold, NJ 07728",49 E Main Street 1,Freehold,NJ,07728
Lighthouse Pregnancy Resource Center,"809 Main St., Hackensack, NJ",809 Main St.,Hackensack,NJ,
Lighthouse Pregnancy Resource Center,"503 Lafayette Avenue, Hawthorne, NJ 07506",503 Lafayette Avenue,Hawthorne,NJ,07506
Gateway Pregnancy Centers,"960 Springfield Avenue, Irvington, NJ 07111",960 Springfield Avenue,Irvington,NJ,07111
First Choice Womens Resource Centers,"10 Paterson Street, Jersey City, NJ 07307",10 Paterson Street,Jersey City,NJ,07307
Choice One Pregnancy Resource Centers,"1764 Brunswick Avenue, Lawrenceville, NJ 08648",1764 Brunswick Avenue,Lawrenceville,NJ,08648
Action Pregnancy Center,"93B Bayard St., New Brunswick, NJ 08902",93B Bayard St.,New Brunswick,NJ,08902
Catholic Community Services,"590 N. 7th St., Newark, NJ 07107",590 N. 7th St.,Newark,NJ,07107
Todays Choice,"43 Trinity St., Newton, NJ 07860",43 Trinity St.,Newton,NJ,07860
"Birth Haven, Inc.","4 Academy Street, Newton, NJ 07860",4 Academy Street,Newton,NJ,07860
Hope Pregnancy Center,"321 West Ave, Ocean City, NJ 08226",321 West Ave,Ocean City,NJ,08226
ABBA Pregnancy Center,"257 W. Broad Street, Palmyra, NJ 08065",257 W. Broad Street,Palmyra,NJ,08065
Catholic Charities Community Services,"24 DeGrasse St., Paterson, NJ 07505",24 DeGrasse St.,Paterson,NJ,07505
Crisis Pregnancy Center,"59 Thompson Street, Raritan, NJ 08869",59 Thompson Street,Raritan,NJ,08869
Hope Pregnancy Center,"P.O. Box 767, Rio Grande, NJ 08242",P.O. Box 767,Rio Grande,NJ,08242
Birthright,"294 Broad St., Red Bank, NJ 07701",294 Broad St.,Red Bank,NJ,07701
Solutions Pregnancy Health Center,"837 Broad St., Shrewsbury, NJ 07702",837 Broad St.,Shrewsbury,NJ,07702
Birthright of Toms River,"10 Lafayette Ave., Toms River, NJ 08753",10 Lafayette Ave.,Toms River,NJ,08753
Open Door Pregnancy Center,"533 Lakehurst Rd., Toms River, NJ 08755",533 Lakehurst Rd.,Toms River,NJ,08755
Catholic Charities,"383 W. State St., Trenton, NJ 08618",383 W. State St.,Trenton,NJ,08618
Choices of the Heart,"132 Ganttown Rd, Turnersville, NJ 08012",132 Ganttown Rd,Turnersville,NJ,08012
Catholic Social Services,"1200 N. Delsea Dr., Ste. 1, Westville, NJ 08096","1200 N. Delsea Dr., Ste. 1",Westville,NJ,08096
National Life Center,"686 North Broad Street, Woodbury, NJ 08096",686 North Broad Street,Woodbury,NJ,08096
Pregnancy Help Center,"1222 N. White Sands Blvd., Alamogordo, NM 88310",1222 N. White Sands Blvd.,Alamogordo,NM,88310
Care Net PC of Albuquerque,"9809 Candelaria Rd. NE Bldg 1A, Albuquerque, NM 87112",9809 Candelaria Rd. NE Bldg 1A,Albuquerque,NM,87112
Birthright,"3228 Candelaria Rd. NE, Albuquerque, NM 87105",3228 Candelaria Rd. NE,Albuquerque,NM,87105
New Beginnings Caring Pregnancy Center,"108 W. Hagerman, Carlsbad, New Mexico 88220",108 W. Hagerman,Carlsbad,NM,88220
Pregnancy Resource Center,"621 Main Street, Clovis, NM 88101",621 Main Street,Clovis,NM,88101
Grace Place for Women,"4801 N. Butler Ave., Farmington, NM 87413",4801 N. Butler Ave.,Farmington,NM,87413
Birthright,"609 N. Butler, Farmington, NM 87401",609 N. Butler,Farmington,NM,87401
Hands of Hope Pregnancy Center,"120 South Boardman Ave., Gallup, NM 87301",120 South Boardman Ave.,Gallup,NM,87301
Care Net Pregnancy Center of Las Cruces,"2020 S. Solano, Las Cruces, NM 88001",2020 S. Solano,Las Cruces,NM,88001
Turning Point of Las Cruces,"3201 S Main Street, Suite C, Las Cruces, NM 88005","3201 S Main Street, Suite C",Las Cruces,NM,88005
Hope Pregnancy Center,"1183 Diamond Drive, Suite E, Los Alamos, NM 87544","1183 Diamond Drive, Suite E",Los Alamos,NM,87544
Care Net Pregnancy Center of Valencia,"601 Main St., Suite 26, Los Lunas, NM 87031","601 Main St., Suite 26",Los Lunas,NM,87031
Care Net East Mountain Pregnancy Center,"809 1st St., Ste. A,, Moriarty, NM 87035","809 1st St., Ste. A,",Moriarty,NM,87035
Christian Child Placement Services,"1356 New Mexico 236, Portales, NM 88130",1356 New Mexico 236,Portales,NM,88130
Birthright of Rio Rancho,"2704 Southern Blvd., Ste. 7, Rio Rancho, NM 87124","2704 Southern Blvd., Ste. 7",Rio Rancho,NM,87124
Care Net Pregnancy Center of Santa Fe,"1525 5th Street, Santa Fe, NM 87505",1525 5th Street,Santa Fe,NM,87505
New Life Pregnancy Center,"1041 Reed Ln., Ste. D, Taos, NM 87571","1041 Reed Ln., Ste. D",Taos,NM,87571
Birthright of Albany,"586 Central Ave., Albany, NY 12206",586 Central Ave.,Albany,NY,12206
Alpha Pregnancy Care Center,"518 Clinton Ave., Albany, NY 12206",518 Clinton Ave.,Albany,NY,12206
Community Maternity Services,"27 N Main Ave., Albany, NY 12203",27 N Main Ave.,Albany,NY,12203
Care Net Center of Greater Orleans,"111 West Ave., Suite 1, Albion, NY 14411","111 West Ave., Suite 1",Albion,NY,14411
Catholic Charities,"243 S Main St 234, Albion, NY 14411",243 S Main St 234,Albion,NY,14411
Alden Pregnancy Information Center,"13179 Broadway Street, Alden, NY 14004",13179 Broadway Street,Alden,NY,14004
Catholic Charities,"147 Schleigel Blvd, Amityville, NY 11701",147 Schleigel Blvd,Amityville,NY,11701
Catholic Community Services,"1 Kimball St, Amsterdam, NY 12010",1 Kimball St,Amsterdam,NY,12010
"The Bridge To Life, Inc.","2340 Astoria Boulevard, Astoria, NY 11102",2340 Astoria Boulevard,Astoria,NY,11102
Birthright of Saratoga City,"40 Front St., Ballston Spa, NY 12020",40 Front St.,Ballston Spa,NY,12020
Catholic Charities,"113 Main St., Batavia, NY 14020",113 Main St.,Batavia,NY,14020
All Babies Cherished,"445 Ellicott Street, Batavia, NY 14020",445 Ellicott Street,Batavia,NY,14020
Loving Arms of Steuben County,"25 Pine Street, Bath, NY 14810",25 Pine Street,Bath,NY,14810
Heritage Outreach,"1380 5th Ave., Bay Shore, NY 11706",1380 5th Ave.,Bay Shore,NY,11706
"The Bridge To Life, Inc.","4123 Bell Blvd., Bayside, NY 11361",4123 Bell Blvd.,Bayside,NY,11361
Boro Pregnancy Counseling Center,"Bayside, NY, 718.281.HOPE (4673)","Bayside, NY",,NY,
Catholic Charities,"232 Main St., Binghampton, NY 13905",232 Main St.,Binghampton,NY,13905
Life Choices Center,"93 Oak Street, Binghamton, NY 13905",93 Oak Street,Binghamton,NY,13905
Birthright of Brockport,"96 Adams Street, Brockport, NY 14420",96 Adams Street,Brockport,NY,14420
Expectant Mother Care Pregnancy Center,"P.O. Box 134, Bronx, NY 10470",P.O. Box 134,Bronx,NY,10470
